Sr. No.,Q,P1,P2,Pcd,Phd,T1,T2,T3,T4,Eff,Efficiency,,,,
1,300,0.08,0.06,9,6,315.24,360.25,368.22,321.17,0.891235,L_Efficiency,,,,
2,400,0.14,0.12,15,12,314.27,358.25,367.17,321.16,0.890783,L_Efficiency,,,,
3,500,0.2,0.17,21,21,313.31,354.31,366.14,321.15,0.901146,M_Efficiency,,,,
4,550,0.24,0.2,25,27,312.67,351.27,365.12,321.14,0.901345,M_Efficiency,,,,
5,588,0.26,0.24,32,31,311.21,349.29,364.14,321.13,0.912367,H_Efficiency,,,,
6,650,0.32,0.26,37,35,311.17,347.73,363.12,321.12,0.943256,H_Efficiency,,,,
7,300,0.09,0.06,10,7,316.63,347.02,362.14,321.11,0.891235,L_Efficiency,,,,
8,400,0.08,0.12,16,14,315.74,346.65,361.12,321.11,0.890783,L_Efficiency,,,,
9,500,0.14,0.17,22,22,314.32,346.21,360.14,320.14,0.901146,M_Efficiency,,,,
10,550,0.2,0.2,24,26,313.72,345.93,359.12,320.13,0.901345,M_Efficiency,,,,
11,588,0.24,0.24,31,30,312.43,345.89,358.14,320.12,0.912367,H_Efficiency,,,,
12,650,0.28,0.26,40,33,312.32,344.65,357.12,320.11,0.943256,H_Efficiency,,,,
13,300,0.32,0.06,9,6,315.24,344.69,356.14,320.09,0.891235,L_Efficiency,,,,
14,400,0.09,0.12,15,12,314.27,343.34,354.12,320.08,0.890783,L_Efficiency,,,,
15,500,0.08,0.17,21,21,313.31,342.91,353.14,320.07,0.901146,M_Efficiency,,,, 
16,550,0.14,0.2,25,27,312.67,341.68,352.12,319.43,0.901345,M_Efficiency,,,,
17,588,0.2,0.24,32,31,311.21,340.47,351.14,319.4,0.912367,H_Efficiency,,,,
18,650,0.24,0.26,37,35,311.17,339.37,350.12,319.39,0.943256,H_Efficiency,,,,
19,300,0.28,0.06,10,7,316.63,339.27,349.14,319.36,0.891235,L_Efficiency,,,,
20,400,0.32,0.12,16,14,315.74,338.28,347.12,318.91,0.890783,L_Efficiency,,,,
21,500,0.09,0.17,22,22,314.32,337.34,345.14,318.63,0.901146,M_Efficiency,,,,
22,550,0.08,0.2,24,26,313.72,336.32,342.12,318.41,0.901345,M_Efficiency,,,,
23,588,0.14,0.24,31,30,312.43,336.15,340.14,317.47,M_Efficiency,M_Efficiency,,,,
24,650,0.2,0.26,40,33,312.32,335.31,339.12,317.22,M_Efficiency,M_Efficiency,,,,
25,300,0.08,0.06,9,6,315.24,360.25,368.22,321.17,0.891235,L_Efficiency,,,,
26,400,0.14,0.12,15,12,314.27,358.25,367.17,321.16,0.890783,L_Efficiency,,,,
27,500,0.2,0.17,21,21,313.31,354.31,366.14,321.15,0.901146,M_Efficiency,,,,
28,550,0.24,0.2,25,27,312.67,351.27,365.12,321.14,0.901345,M_Efficiency,,,,
29,588,0.26,0.24,32,31,311.21,349.29,364.14,321.13,0.912367,H_Efficiency,,,,
30,650,0.32,0.26,37,35,311.17,347.73,363.12,321.12,0.943256,H_Efficiency,,,,
31,300,0.09,0.06,10,7,316.63,347.02,362.14,321.11,0.891235,L_Efficiency,,,,
32,400,0.08,0.12,16,14,315.74,346.65,361.12,321.11,0.890783,L_Efficiency,,,,
33,500,0.14,0.17,22,22,314.32,346.21,360.14,320.14,0.901146,M_Efficiency,,,,
34,550,0.2,0.2,24,26,313.72,345.93,359.12,320.13,0.901345,M_Efficiency,,,,
35,588,0.24,0.24,31,30,312.43,345.89,358.14,320.12,0.912367,H_Efficiency,,,,
36,650,0.28,0.26,40,33,312.32,344.65,357.12,320.11,0.943256,H_Efficiency,,,,
37,300,0.32,0.06,9,6,315.24,344.69,356.14,320.09,0.891235,L_Efficiency,,,,
38,400,0.09,0.12,15,12,314.27,343.34,354.12,320.08,0.890783,L_Efficiency,,,,
39,500,0.08,0.17,21,21,313.31,342.91,353.14,320.07,0.901146,M_Efficiency,,,,
40,550,0.14,0.2,25,27,312.67,341.68,352.12,319.43,0.901345,M_Efficiency,,,,
41,588,0.2,0.24,32,31,311.21,340.47,351.14,319.4,0.912367,H_Efficiency,,,,
42,650,0.24,0.26,37,35,311.17,339.37,350.12,319.39,0.943256,H_Efficiency,,,,
43,300,0.28,0.06,10,7,316.63,339.27,349.14,319.36,0.891235,L_Efficiency,,,,
44,400,0.32,0.12,16,14,315.74,338.28,347.12,318.91,0.890783,L_Efficiency,,,,
45,500,0.09,0.17,22,22,314.32,337.34,345.14,318.63,0.901146,M_Efficiency,,,,
46,550,0.08,0.2,24,26,313.72,336.32,342.12,318.41,0.901345,M_Efficiency,,,,
47,588,0.14,0.24,31,30,312.43,336.15,340.14,317.47,M_Efficiency,M_Efficiency,,,,
48,650,0.2,0.26,40,33,312.32,335.31,339.12,317.22,M_Efficiency,M_Efficiency,,,,
49,300,0.08,0.06,9,6,315.24,360.25,368.22,321.17,0.891235,L_Efficiency,,,,
50,400,0.14,0.12,15,12,314.27,358.25,367.17,321.16,0.890783,L_Efficiency,,,,
51,500,0.2,0.17,21,21,313.31,354.31,366.14,321.15,0.901146,M_Efficiency,,,,
52,550,0.24,0.2,25,27,312.67,351.27,365.12,321.14,0.901345,M_Efficiency,,,,
53,588,0.26,0.24,32,31,311.21,349.29,364.14,321.13,0.912367,H_Efficiency,,,,
54,650,0.32,0.26,37,35,311.17,347.73,363.12,321.12,0.943256,H_Efficiency,,,,
55,300,0.09,0.06,10,7,316.63,347.02,362.14,321.11,0.891235,L_Efficiency,,,,
56,400,0.08,0.12,16,14,315.74,346.65,361.12,321.11,0.890783,L_Efficiency,,,,
57,500,0.14,0.17,22,22,314.32,346.21,360.14,320.14,0.901146,M_Efficiency,,,,
58,550,0.2,0.2,24,26,313.72,345.93,359.12,320.13,0.901345,M_Efficiency,,,,
59,588,0.24,0.24,31,30,312.43,345.89,358.14,320.12,0.912367,H_Efficiency,,,,
60,650,0.28,0.26,40,33,312.32,344.65,357.12,320.11,0.943256,H_Efficiency,,,,
61,300,0.32,0.06,9,6,315.24,344.69,356.14,320.09,0.891235,L_Efficiency,,,,
62,400,0.09,0.12,15,12,314.27,343.34,354.12,320.08,0.890783,L_Efficiency,,,,
63,500,0.08,0.17,21,21,313.31,342.91,353.14,320.07,0.901146,M_Efficiency,,,,
64,550,0.14,0.2,25,27,312.67,341.68,352.12,319.43,0.901345,M_Efficiency,,,,
65,588,0.2,0.24,32,31,311.21,340.47,351.14,319.4,0.912367,H_Efficiency,,,,
66,650,0.24,0.26,37,35,311.17,339.37,350.12,319.39,0.943256,H_Efficiency,,,,
67,300,0.28,0.06,10,7,316.63,339.27,349.14,319.36,0.891235,L_Efficiency,,,,
68,400,0.32,0.12,16,14,315.74,338.28,347.12,318.91,0.890783,L_Efficiency,,,,
69,500,0.09,0.17,22,22,314.32,337.34,345.14,318.63,0.901146,M_Efficiency,,,,
70,550,0.08,0.2,24,26,313.72,336.32,342.12,318.41,0.901345,M_Efficiency,,,,
71,588,0.14,0.24,31,30,312.43,336.15,340.14,317.47,M_Efficiency,M_Efficiency,,,,
72,650,0.2,0.26,40,33,312.32,335.31,339.12,317.22,M_Efficiency,M_Efficiency,,,,
73,300,0.08,0.06,9,6,315.24,360.25,368.22,321.17,0.891235,L_Efficiency,,,,
74,400,0.14,0.12,15,12,314.27,358.25,367.17,321.16,0.890783,L_Efficiency,,,,
75,500,0.2,0.17,21,21,313.31,354.31,366.14,321.15,0.901146,M_Efficiency,,,,
76,550,0.24,0.2,25,27,312.67,351.27,365.12,321.14,0.901345,M_Efficiency,,,,
77,588,0.26,0.24,32,31,311.21,349.29,364.14,321.13,0.912367,H_Efficiency,,,,
78,650,0.32,0.26,37,35,311.17,347.73,363.12,321.12,0.943256,H_Efficiency,,,,
79,300,0.09,0.06,10,7,316.63,347.02,362.14,321.11,0.891235,L_Efficiency,,,,
80,400,0.08,0.12,16,14,315.74,346.65,361.12,321.11,0.890783,L_Efficiency,,,,
81,500,0.14,0.17,22,22,314.32,346.21,360.14,320.14,0.901146,M_Efficiency,,,,
82,550,0.2,0.2,24,26,313.72,345.93,359.12,320.13,0.901345,M_Efficiency,,,,
83,588,0.24,0.24,31,30,312.43,345.89,358.14,320.12,0.912367,H_Efficiency,,,,
84,650,0.28,0.26,40,33,312.32,344.65,357.12,320.11,0.943256,H_Efficiency,,,,
85,300,0.32,0.06,9,6,315.24,344.69,356.14,320.09,0.891235,L_Efficiency,,,,
86,400,0.09,0.12,15,12,314.27,343.34,354.12,320.08,0.890783,L_Efficiency,,,,
87,500,0.08,0.17,21,21,313.31,342.91,353.14,320.07,0.901146,M_Efficiency,,,,
88,550,0.14,0.2,25,27,312.67,341.68,352.12,319.43,0.901345,M_Efficiency,,,,
89,588,0.2,0.24,32,31,311.21,340.47,351.14,319.4,0.912367,H_Efficiency,,,,
90,650,0.24,0.26,37,35,311.17,339.37,350.12,319.39,0.943256,H_Efficiency,,,,
91,300,0.28,0.06,10,7,316.63,339.27,349.14,319.36,0.891235,L_Efficiency,,,,
92,400,0.32,0.12,16,14,315.74,338.28,347.12,318.91,0.890783,L_Efficiency,,,,
93,500,0.09,0.17,22,22,314.32,337.34,345.14,318.63,0.901146,M_Efficiency,,,,
94,550,0.08,0.2,24,26,313.72,336.32,342.12,318.41,0.901345,M_Efficiency,,,,
95,588,0.14,0.24,31,30,312.43,336.15,340.14,317.47,M_Efficiency,M_Efficiency,,,,
96,650,0.2,0.26,40,33,312.32,335.31,339.12,317.22,M_Efficiency,M_Efficiency,,,,
97,300,0.08,0.06,9,6,315.24,360.25,368.22,321.17,0.891235,L_Efficiency,,,,
98,400,0.14,0.12,15,12,314.27,358.25,367.17,321.16,0.890783,L_Efficiency,,,,
99,500,0.2,0.17,21,21,313.31,354.31,366.14,321.15,0.901146,M_Efficiency,,,,
100,550,0.24,0.2,25,27,312.67,351.27,365.12,321.14,0.901345,M_Efficiency,,,,
